City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Acapulco de Juárez,16.86,-99.89,84.2,74,75,2.24,MX,1602865454
Thompson,55.74,-97.86,28.4,86,90,13.87,CA,1602865528
Saint Paul Harbor,57.79,-152.41,30.2,80,1,5.82,US,1602865650
Alofi,-19.06,-169.92,73.4,94,85,4.7,NU,1602865650
Mataura,-46.19,168.86,33.39,94,33,1.95,NZ,1602865650
Puerto Ayora,-0.74,-90.35,75.2,73,75,11.41,EC,1602865650
Ponta do Sol,32.67,-17.1,71.6,60,40,12.75,PT,1602865650
Rikitea,-23.12,-134.97,73.4,80,89,20.36,PF,1602865650
Cape Town,-33.93,18.42,75.99,35,0,9.17,ZA,1602865396
Bredasdorp,-34.53,20.04,66.2,77,0,13.87,ZA,1602865651
Lata,40.16,-8.33,66.99,46,63,4.0,PT,1602865651
Nouadhibou,20.93,-17.03,84.2,51,0,14.99,MR,1602865651
Bilibino,68.05,166.44,23.68,95,49,1.79,RU,1602865651
Tabas,33.6,56.92,66.2,13,0,4.7,IR,1602865651
Butaritari,3.07,172.79,81.63,75,0,13.94,KI,1602865651
Kulhudhuffushi,6.62,73.07,82.51,75,92,18.14,MV,1602865651
Talcahuano,-36.72,-73.12,55.4,87,90,11.41,CL,1602865651
Punta Arenas,-53.15,-70.92,42.8,87,90,5.82,CL,1602865448
Hilo,19.73,-155.09,73.4,73,40,5.82,US,1602865652
Leningradskiy,69.38,178.42,33.21,92,71,12.39,RU,1602865652
Broken Hill,-31.95,141.43,66.2,63,90,13.87,AU,1602865652
Cabo San Lucas,22.89,-109.91,89.6,55,5,4.7,MX,1602865365
Bethel,41.37,-73.41,54.0,93,90,6.93,US,1602865652
Vila Velha,-20.33,-40.29,79.0,78,90,18.34,BR,1602865600
Ushuaia,-54.8,-68.3,46.4,49,40,18.34,AR,1602865652
Busselton,-33.65,115.33,55.0,54,0,11.88,AU,1602865353
Port Lincoln,-34.73,135.87,53.89,79,100,15.77,AU,1602865652
Geraldton,-28.77,114.6,62.6,72,15,14.99,AU,1602865653
Santa Cruz de Tenerife,28.47,-16.25,69.01,77,75,9.17,ES,1602865653
Kawalu,-7.38,108.21,71.15,93,89,1.97,ID,1602865653
Bluff,-46.6,168.33,41.16,69,20,1.28,NZ,1602865653
